Prscrbr_NPI,Prscrbr_Type,Gnrc_Name,Brnd_Name,Drug_Category,Tot_Clms,Tot_30day_Fills,Tot_Day_Suply,Tot_Drug_Cst,Tot_Benes,Year
1710997135,Neurosurgery,Cyclobenzaprine Hcl,Cyclobenzaprine Hcl,Muscle Relaxant,17,17.0,226,72.19,,2023
1710997135,Neurosurgery,Gabapentin,Gabapentin,Gabapentinoid,16,22.8,630,278.58,,2023
1710997135,Neurosurgery,Hydrocodone/Acetaminophen,Hydrocodone-Acetaminophen,Opioid,33,33.0,285,342.51,24.0,2023
1710997135,Neurosurgery,Methocarbamol,Methocarbamol,Muscle Relaxant,73,73.0,1136,512.23,35.0,2023
1710997135,Neurosurgery,Oxycodone Hcl,Oxycodone Hcl,Opioid,38,38.0,381,566.35,16.0,2023
1710997135,Neurosurgery,Oxycodone Hcl/Acetaminophen,Oxycodone-Acetaminophen,Opioid,54,54.0,527,766.93,33.0,2023
1720030273,Neurosurgery,Hydrocodone/Acetaminophen,Hydrocodone-Acetaminophen,Opioid,41,41.0,278,354.14,36.0,2023
1720044415,Neurosurgery,Baclofen,Baclofen,Muscle Relaxant,25,42.0,1221,563.34,13.0,2023
1720044415,Neurosurgery,Celecoxib,Celecoxib,NSAID,37,51.0,1530,753.04,12.0,2023
1720044415,Neurosurgery,Cyclobenzaprine Hcl,Cyclobenzaprine Hcl,Muscle Relaxant,15,15.0,370,149.1,,2023
1720044415,Neurosurgery,Gabapentin,Gabapentin,Gabapentinoid,167,237.0,7110,2233.81,60.0,2023
1720044415,Neurosurgery,Ketorolac Tromethamine,Ketorolac Tromethamine,NSAID,37,37.0,191,443.02,31.0,2023
1720044415,Neurosurgery,Meloxicam,Meloxicam,NSAID,130,166.0,4980,695.72,29.0,2023
1720044415,Neurosurgery,Tizanidine Hcl,Tizanidine Hcl,Muscle Relaxant,96,124.0,3124,1132.03,38.0,2023
1720046295,Neurosurgery,Gabapentin,Gabapentin,Gabapentinoid,83,152.6,4561,1145.07,41.0,2023
1720046295,Neurosurgery,Hydrocodone/Acetaminophen,Hydrocodone-Acetaminophen,Opioid,45,45.0,328,278.67,34.0,2023
1720046295,Neurosurgery,Tramadol Hcl,Tramadol Hcl,Opioid,23,23.0,144,84.39,22.0,2023
1720060775,Neurosurgery,Cyclobenzaprine Hcl,Cyclobenzaprine Hcl,Muscle Relaxant,19,23.0,667,171.72,14.0,2023
1720060775,Neurosurgery,Hydrocodone/Acetaminophen,Hydrocodone-Acetaminophen,Opioid,16,16.0,125,169.06,13.0,2023
1720151855,Neurosurgery,Cyclobenzaprine Hcl,Cyclobenzaprine Hcl,Muscle Relaxant,99,99.5,2085,733.73,82.0,2023
1720151855,Neurosurgery,Hydrocodone/Acetaminophen,Hydrocodone-Acetaminophen,Opioid,96,96.3,999,995.37,69.0,2023
1720151855,Neurosurgery,Ibuprofen,Ibu,NSAID,12,12.0,240,60.83,11.0,2023
1720151855,Neurosurgery,Ibuprofen,Ibuprofen,NSAID,52,52.0,1060,385.88,45.0,2023
1720180946,Neurosurgery,Cyclobenzaprine Hcl,Cyclobenzaprine Hcl,Muscle Relaxant,19,19.0,113,59.95,14.0,2023
1720180946,Neurosurgery,Gabapentin,Gabapentin,Gabapentinoid,28,38.0,1110,406.2,,2023
1720180946,Neurosurgery,Hydrocodone/Acetaminophen,Hydrocodone-Acetaminophen,Opioid,25,25.0,125,224.78,20.0,2023
1720213895,Neurosurgery,Cyclobenzaprine Hcl,Cyclobenzaprine Hcl,Muscle Relaxant,16,16.0,403,267.1,,2023
1720213895,Neurosurgery,Gabapentin,Gabapentin,Gabapentinoid,54,54.0,1547,598.79,24.0,2023
1720213895,Neurosurgery,Hydrocodone/Acetaminophen,Hydrocodone-Acetaminophen,Opioid,21,21.0,172,220.11,15.0,2023
1720213895,Neurosurgery,Hydromorphone Hcl,Hydromorphone Hcl,Opioid,11,11.0,77,95.84,,2023
1720213895,Neurosurgery,Methocarbamol,Methocarbamol,Muscle Relaxant,54,55.0,1640,736.6,43.0,2023
1720213895,Neurosurgery,Oxycodone Hcl/Acetaminophen,Oxycodone-Acetaminophen,Opioid,92,92.0,728,1080.35,56.0,2023
1720213895,Neurosurgery,Pregabalin,Pregabalin,Gabapentinoid,18,24.0,720,353.59,,2023
1720213895,Neurosurgery,Tizanidine Hcl,Tizanidine Hcl,Muscle Relaxant,24,28.5,855,426.77,22.0,2023
1720213895,Neurosurgery,Tramadol Hcl,Tramadol Hcl,Opioid,20,20.0,235,75.27,18.0,2023
1720220940,Neurosurgery,Baclofen,Baclofen,Muscle Relaxant,19,25.0,750,249.88,,2023
1720220940,Neurosurgery,Cyclobenzaprine Hcl,Cyclobenzaprine Hcl,Muscle Relaxant,15,15.0,329,214.6,,2023
1720220940,Neurosurgery,Gabapentin,Gabapentin,Gabapentinoid,71,81.0,2290,682.61,22.0,2023
1720220940,Neurosurgery,Hydrocodone/Acetaminophen,Hydrocodone-Acetaminophen,Opioid,28,28.0,180,239.79,22.0,2023
1720220940,Neurosurgery,Meloxicam,Meloxicam,NSAID,117,129.0,3830,415.46,36.0,2023
1720220940,Neurosurgery,Methocarbamol,Methocarbamol,Muscle Relaxant,46,53.3,1231,255.79,20.0,2023
1720228331,Neurosurgery,Tizanidine Hcl,Tizanidine Hcl,Muscle Relaxant,26,27.0,770,292.74,15.0,2023
1720244304,Neurosurgery,Baclofen,Baclofen,Muscle Relaxant,21,21.0,522,166.51,,2023
1720244304,Neurosurgery,Cyclobenzaprine Hcl,Cyclobenzaprine Hcl,Muscle Relaxant,12,12.0,185,57.43,,2023
1720244304,Neurosurgery,Gabapentin,Gabapentin,Gabapentinoid,27,32.0,960,224.24,,2023
1720244304,Neurosurgery,Tizanidine Hcl,Tizanidine Hcl,Muscle Relaxant,13,13.0,213,100.33,,2023
1720272800,Neurosurgery,Gabapentin,Gabapentin,Gabapentinoid,17,27.0,800,521.91,,2023
1720347834,Neurosurgery,Acetaminophen With Codeine,Acetaminophen-Codeine,Opioid,39,39.0,333,423.78,24.0,2023
1720347834,Neurosurgery,Cyclobenzaprine Hcl,Cyclobenzaprine Hcl,Muscle Relaxant,17,22.5,666,347.39,,2023
1720347834,Neurosurgery,Diclofenac Sodium,Diclofenac Sodium,NSAID,16,18.0,540,382.45,,2023
1720347834,Neurosurgery,Gabapentin,Gabapentin,Gabapentinoid,115,149.0,4365,1664.1,39.0,2023
1720347834,Neurosurgery,Hydrocodone/Acetaminophen,Hydrocodone-Acetaminophen,Opioid,53,53.0,491,780.51,29.0,2023
1720347834,Neurosurgery,Meloxicam,Meloxicam,NSAID,28,28.5,688,142.13,16.0,2023
1720347834,Neurosurgery,Methocarbamol,Methocarbamol,Muscle Relaxant,19,19.0,446,246.41,15.0,2023
1720347834,Neurosurgery,Oxycodone Hcl/Acetaminophen,Oxycodone-Acetaminophen,Opioid,15,15.0,123,157.81,,2023
1720347834,Neurosurgery,Tramadol Hcl,Tramadol Hcl,Opioid,28,28.0,237,128.25,19.0,2023
1720358971,Neurosurgery,Cyclobenzaprine Hcl,Cyclobenzaprine Hcl,Muscle Relaxant,20,20.0,310,79.32,,2023
1720358971,Neurosurgery,Tramadol Hcl,Tramadol Hcl,Opioid,12,12.0,95,27.28,,2023
1720402522,Neurosurgery,Hydrocodone/Acetaminophen,Hydrocodone-Acetaminophen,Opioid,34,34.0,176,241.78,29.0,2023
1720402522,Neurosurgery,Oxycodone Hcl/Acetaminophen,Oxycodone-Acetaminophen,Opioid,11,11.0,60,103.19,,2023
1720421860,Neurosurgery,Baclofen,Baclofen,Muscle Relaxant,70,76.0,2280,1057.94,28.0,2023
1720421860,Neurosurgery,Gabapentin,Gabapentin,Gabapentinoid,143,157.0,4687,1517.72,44.0,2023
1720421860,Neurosurgery,Pregabalin,Pregabalin,Gabapentinoid,15,15.0,450,463.07,,2023
1720421860,Neurosurgery,Tizanidine Hcl,Tizanidine Hcl,Muscle Relaxant,11,11.0,250,90.1,,2023
1720423791,Neurosurgery,Gabapentin,Gabapentin,Gabapentinoid,46,48.0,1440,358.37,17.0,2023
1720436371,Neurosurgery,Gabapentin,Gabapentin,Gabapentinoid,19,19.0,570,215.71,13.0,2023
